sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMEA1130632		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130635		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130639		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130646		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130648		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130650		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130651		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130652		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130653		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130657		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130658		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130678		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130681		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130682		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130683		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130684		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130685		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130688		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130691		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130693		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130695		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130696		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130697		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130698		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130699		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130705		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130707		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130708		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130709		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130714		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130722		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130725		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130730		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130731		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130735		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130743		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130745		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130747		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130748		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130750		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130752		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130755		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130762		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130763		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130765		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130766		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130768		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130769		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130776		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130777		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130778		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130779		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130780		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130783		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130784		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130785		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130787		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130791		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130792		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130793		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130794		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130796		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130797		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130798		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130799		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130801		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130802		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130813		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130814		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130819		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130820		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130830		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130833		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130834		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130842		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130848		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130853		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130856		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130857		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130859		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130860		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130872		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130874		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130877		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130880		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130884		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130886		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130893		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130898		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130900		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130903		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130904		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130905		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130906		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130907		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130908		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130911		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130912		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130914		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130916		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130919		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131054		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131055		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131058		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131062		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131063		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131064		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131069		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131070		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131083		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131084		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131087		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131091		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131092		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131093		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131095		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1131097		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
