sample_accession,sample_description,tax_id,age,altitude,assembly_quality,assembly_software,binning_software,bio_material,broad_scale_environmental_context,broker_name,cell_line,cell_type,center_name,checklist,collected_by,collection_date,collection_date_end,collection_date_start,completeness_score,contamination_score,country,cultivar,culture_collection,datahub,depth,description,dev_stage,disease,ecotype,elevation,environment_biome,environment_feature,environment_material,environmental_medium,environmental_sample,experimental_factor,first_public,germline,host,host_body_site,host_genotype,host_gravidity,host_growth_conditions,host_phenotype,host_scientific_name,host_sex,host_status,host_tax_id,identified_by,investigation_type,isolate,isolation_source,keywords,last_updated,lat,local_environmental_context,location,location_end,location_start,lon,marine_region,mating_type,ncbi_reporting_standard,ph,project_name,protocol_label,related_sample_accession,salinity,sample_alias,sample_capture_status,sample_collection,sample_material,sample_title,sampling_campaign,sampling_platform,sampling_site,scientific_name,secondary_sample_accession,sequencing_method,serotype,serovar,sex,specimen_voucher,status,strain,study_accession,sub_species,sub_strain,submission_accession,submission_tool,submitted_host_sex,tag,target_gene,tax_lineage,taxonomic_classification,taxonomic_identity_marker,temperature,tissue_lib,tissue_type,variety
SAMEA12884758,Fagus sylvatica (IndivCBR - Mutant1),28930,,,,,,,,,,,GSC,ERC000011,,2019-04,2019-04-30,2019-03-31,,,France: Verzy Forest;Champagne;49.144208 N 4.1627125 E,,,,,Fagus sylvatica (IndivCBR - Mutant1),,,Verzy Forest,,,,,,,,2022-02-10,,,,,,,,,,,,,,CBRM1,,,2022-02-10,,,,,,,,,,,,,,,sample_CRK_28930_21_CBRM,,,,IndivCBR - Mutant1,,,,Fagus sylvatica,ERS10483637,,,,,,public,,PRJEB50800,,,ERA8915350,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,ecodormant buds,
SAMEA12884761,Fagus sylvatica (IndivCBR - Revertant2),28930,,,,,,,,,,,GSC,ERC000011,,2019-04,2019-04-30,2019-03-31,,,France: Verzy Forest;Champagne;49.144208 N 4.1627125 E,,,,,Fagus sylvatica (IndivCBR - Revertant2),,,Verzy Forest,,,,,,,,2022-02-10,,,,,,,,,,,,,,CBRR2,,,2022-02-10,,,,,,,,,,,,,,,sample_CRK_28930_24_CBRR,,,,IndivCBR - Revertant2,,,,Fagus sylvatica,ERS10483640,,,,,,public,,PRJEB50756,,,ERA8915350,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,ecodormant buds,
SAMEA7725521,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_007,,,,PF_007,,,,Fagus sylvatica,ERS5472896,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725522,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_008,,,,PF_008,,,,Fagus sylvatica,ERS5472897,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725527,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_018,,,,PF_018,,,,Fagus sylvatica,ERS5472902,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725528,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_019,,,,PF_019,,,,Fagus sylvatica,ERS5472903,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725532,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_023,,,,PF_023,,,,Fagus sylvatica,ERS5472907,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725533,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_024,,,,PF_024,,,,Fagus sylvatica,ERS5472908,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725534,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_025,,,,PF_025,,,,Fagus sylvatica,ERS5472909,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725536,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-19,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_027,,,,PF_027,,,,Fagus sylvatica,ERS5472911,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725538,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-20,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_029,,,,PF_029,,,,Fagus sylvatica,ERS5472913,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725540,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-20,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_031,,,,PF_031,,,,Fagus sylvatica,ERS5472915,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725552,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2020-12-23,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_051,,,,PF_051,,,,Fagus sylvatica,ERS5472927,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725553,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-20,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_052,,,,PF_052,,,,Fagus sylvatica,ERS5472928,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725558,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2020-12-20,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_057,,,,PF_057,,,,Fagus sylvatica,ERS5472933,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725559,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_058,,,,PF_058,,,,Fagus sylvatica,ERS5472934,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725561,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_060,,,,PF_060,,,,Fagus sylvatica,ERS5472936,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725563,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-01-05,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_062,,,,PF_062,,,,Fagus sylvatica,ERS5472938,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725568,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_067,,,,PF_067,,,,Fagus sylvatica,ERS5472943,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725570,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_069,,,,PF_069,,,,Fagus sylvatica,ERS5472945,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725573,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_072,,,,PF_072,,,,Fagus sylvatica,ERS5472948,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725574,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2020-12-21,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_073,,,,PF_073,,,,Fagus sylvatica,ERS5472949,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725577,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-21,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_076,,,,PF_076,,,,Fagus sylvatica,ERS5472952,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725579,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-22,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_078,,,,PF_078,,,,Fagus sylvatica,ERS5472954,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725580,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-22,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_080,,,,PF_080,,,,Fagus sylvatica,ERS5472955,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725582,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-22,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_082,,,,PF_082,,,,Fagus sylvatica,ERS5472957,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725584,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2020-12-22,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_085,,,,PF_085,,,,Fagus sylvatica,ERS5472959,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725586,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_087,,,,PF_087,,,,Fagus sylvatica,ERS5472961,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725591,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_092,,,,PF_092,,,,Fagus sylvatica,ERS5472966,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725594,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_095,,,,PF_095,,,,Fagus sylvatica,ERS5472969,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725596,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_100,,,,PF_100,,,,Fagus sylvatica,ERS5472971,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725597,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2020-12-23,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_101,,,,PF_101,,,,Fagus sylvatica,ERS5472972,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725599,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_103,,,,PF_103,,,,Fagus sylvatica,ERS5472974,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725601,healthy,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,healthy,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_105,,,,PF_105,,,,Fagus sylvatica,ERS5472976,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725602,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_106,,,,PF_106,,,,Fagus sylvatica,ERS5472977,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA7725604,sick,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,sick,,,,,,,,,,,2021-02-10,,,,,,,,,,,,,,,,,2020-12-16,,,,,,,,,,,,,,,PF_108,,,,PF_108,,,,Fagus sylvatica,ERS5472979,,,,,,public,,PRJEB41889,,,ERA3199710,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
